utterance_id,duration_sec,text,wav_path,block_reason
speech_0002_1906c1225a84,10.17,Frases rápidas,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0002_1906c1225a84.wav,generic_metadata
speech_0003_f18f379dc570,15.534,Frases suaves,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0003_f18f379dc570.wav,generic_metadata
speech_0004_0f21b2989f96,22.338,Habla con energía,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0004_0f21b2989f96.wav,generic_metadata
speech_0005_4f0abbeb4201,23.777,Habla normal,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0005_4f0abbeb4201.wav,generic_metadata
speech_0013_0883e693c447,10.77,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0013_0883e693c447.wav,duplicate_over_limit
speech_0014_616b12e557cc,9.34,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0014_616b12e557cc.wav,duplicate_over_limit
speech_0015_efad911af488,10.44,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0015_efad911af488.wav,duplicate_over_limit
speech_0016_0d51a3cad852,10.18,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0016_0d51a3cad852.wav,duplicate_over_limit
speech_0017_fbcbd5370ed3,10.39,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0017_fbcbd5370ed3.wav,duplicate_over_limit
speech_0018_9faabf29822d,10.73,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0018_9faabf29822d.wav,duplicate_over_limit
speech_0019_ba0dde04ddc9,8.5,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0019_ba0dde04ddc9.wav,duplicate_over_limit
speech_0020_3b7cee30e1a0,8.74,"Hola, esta es mi voz natural para el modelo LYKENOX.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0020_3b7cee30e1a0.wav,duplicate_over_limit
speech_0021_6cd35984e877,77.1,"El que ama la corrección ama a la sabiduría, pero el que odia la represión es ignorante. El bueno alcanzará el favor del señor, pero él condenará al hombre de malos pensamientos. El hombre no se afirmará por medio de la maldad, pero la raíz de los juzgos no será movida. La mujer virtuosa es la corona de su esposo, pero la mala es como carcoma en sus huesos. Los pensamientos de los justos son rectos, pero los consejos de los malvados son engaño. Las palabras de los malvados son para acechar la sangre, pero la boca de los rectos los librará, Dios trastornará a los malvados y dejarán de existir, pero la caja de los justos permanecerá. Según la sabiduría, es alavado el hombre, pero el perverso de corazón será despreciado.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0021_6cd35984e877.wav,needs_segmentation
speech_0022_ba721f6129b9,76.58,"Según su sabiduría, es alabado el hombre, pero el perverso de corazón será despreciado. Más vale el que es menos preciado y tiene sirvientes que el que presume y no tiene pan. El justo cuida de la vida de su animal, pero los sentimientos de los malvados son crueles. El que trabaja su tierra se saciará de pan, pero el que sigue a los babos caece de entendimiento. El malvado desea la trampa de los malos, pero la raíz de los justos dará fruto. El malvado queda atrapado por el pecado de sus labios, pero el justo saldrá de la dificultad. El hombre se asciará de bien con el fruto de su boca y el pago de los... y el pago de las manos del hombre le será dado. El camino del necio parece derecho antes sus propios ojos, pero el que escucha el consejo es sabio. El necio enseguida deja ver su ira, pero el que disimula la ofensa es prudente.",D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0022_ba721f6129b9.wav,needs_segmentation
