utterance_id,wav_path,text
speech_0002_1906c1225a84,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0002_1906c1225a84.wav,Frases rápidas
speech_0003_f18f379dc570,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0003_f18f379dc570.wav,Frases suaves
speech_0004_0f21b2989f96,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0004_0f21b2989f96.wav,Habla con energía
speech_0005_4f0abbeb4201,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0005_4f0abbeb4201.wav,Habla normal
speech_0006_ed1f01e7ad76,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0006_ed1f01e7ad76.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0007_a51c59448b2a,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0007_a51c59448b2a.wav,Hoy voy a leer este texto con claridad y sin forzar la voz.
speech_0008_da08a9ccf7ae,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0008_da08a9ccf7ae.wav,El objetivo es que mi identidad vocal se conserve en cada frase.
speech_0009_b56bc8f9abf4,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0009_b56bc8f9abf4.wav,Quiero que este sistema pueda leer cualquier texto en español.
speech_0010_40f06f5c95fa,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0010_40f06f5c95fa.wav,"Esta grabación debe sonar tranquila, limpia y parecida a mí."
speech_0011_0f2509233ec3,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0011_0f2509233ec3.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0013_0883e693c447,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0013_0883e693c447.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0014_616b12e557cc,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0014_616b12e557cc.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0015_efad911af488,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0015_efad911af488.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0016_0d51a3cad852,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0016_0d51a3cad852.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0017_fbcbd5370ed3,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0017_fbcbd5370ed3.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0018_9faabf29822d,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0018_9faabf29822d.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0019_ba0dde04ddc9,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0019_ba0dde04ddc9.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0020_3b7cee30e1a0,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0020_3b7cee30e1a0.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0021_6cd35984e877,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0021_6cd35984e877.wav,"El que ama la corrección ama a la sabiduría, pero el que odia la represión es ignorante. El bueno alcanzará el favor del señor, pero él condenará al hombre de malos pensamientos. El hombre no se afirmará por medio de la maldad, pero la raíz de los juzgos no será movida. La mujer virtuosa es la corona de su esposo, pero la mala es como carcoma en sus huesos. Los pensamientos de los justos son rectos, pero los consejos de los malvados son engaño. Las palabras de los malvados son para acechar la sangre, pero la boca de los rectos los librará, Dios trastornará a los malvados y dejarán de existir, pero la caja de los justos permanecerá. Según la sabiduría, es alavado el hombre, pero el perverso de corazón será despreciado."
speech_0022_ba721f6129b9,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0022_ba721f6129b9.wav,"Según su sabiduría, es alabado el hombre, pero el perverso de corazón será despreciado. Más vale el que es menos preciado y tiene sirvientes que el que presume y no tiene pan. El justo cuida de la vida de su animal, pero los sentimientos de los malvados son crueles. El que trabaja su tierra se saciará de pan, pero el que sigue a los babos caece de entendimiento. El malvado desea la trampa de los malos, pero la raíz de los justos dará fruto. El malvado queda atrapado por el pecado de sus labios, pero el justo saldrá de la dificultad. El hombre se asciará de bien con el fruto de su boca y el pago de los... y el pago de las manos del hombre le será dado. El camino del necio parece derecho antes sus propios ojos, pero el que escucha el consejo es sabio. El necio enseguida deja ver su ira, pero el que disimula la ofensa es prudente."
speech_0024_1778f351cc1f,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0024_1778f351cc1f.wav,"El hijo sabió escucha el consejo de su padre, pero el por long no hace caso las represiones. Del fruto de su boca el hombre comerá lo bueno, pero el alma de los pecadores hallará el mal. El que cuida su boca cuida su vida, pero el que habla demasiado terminará en desgracia. El peresoso desea y no consigue nada, pero el alma de los dirigentes prosperará. El justo aborrece la mentira, pero el malvado se vuelve despreciable y vergonzoso. La justicia cuida al que anda en camino recto, pero la maldad destruirá el decador. Hay quienes hacen rico si no tienen nada, y hay quienes se hacen pobres y tienen muchas riquezas. La protección de la vida del hombre son sus riquezas, pero el pobre no escucha reprensiones. La luz de lo justo brilla con alegría, pero la lámpara de los malvados se apagará. El orgullo provoca con tiendas, pero con los prudentes está la sabiduría. La riquezas obtenidas con vanidad, disminuirán, pero el que junta poco a poco las aumentará. La esperanza que se tarda en cumplirse es tormento para el corazón, pero el deseo cumplido es árbol de la vida."
