utterance_id,wav_path,text
speech_0002_1906c1225a84,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0002_1906c1225a84.wav,Frases rápidas
speech_0003_f18f379dc570,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0003_f18f379dc570.wav,Frases suaves
speech_0004_0f21b2989f96,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0004_0f21b2989f96.wav,Habla con energía
speech_0005_4f0abbeb4201,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0005_4f0abbeb4201.wav,Habla normal
speech_0006_ed1f01e7ad76,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0006_ed1f01e7ad76.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0007_a51c59448b2a,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0007_a51c59448b2a.wav,Hoy voy a leer este texto con claridad y sin forzar la voz.
speech_0008_da08a9ccf7ae,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0008_da08a9ccf7ae.wav,El objetivo es que mi identidad vocal se conserve en cada frase.
speech_0009_b56bc8f9abf4,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0009_b56bc8f9abf4.wav,Quiero que este sistema pueda leer cualquier texto en español.
speech_0010_40f06f5c95fa,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0010_40f06f5c95fa.wav,"Esta grabación debe sonar tranquila, limpia y parecida a mí."
speech_0011_0f2509233ec3,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0011_0f2509233ec3.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0013_0883e693c447,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0013_0883e693c447.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0014_616b12e557cc,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0014_616b12e557cc.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0015_efad911af488,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0015_efad911af488.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0016_0d51a3cad852,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0016_0d51a3cad852.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0017_fbcbd5370ed3,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0017_fbcbd5370ed3.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0018_9faabf29822d,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0018_9faabf29822d.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0019_ba0dde04ddc9,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0019_ba0dde04ddc9.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0020_3b7cee30e1a0,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0020_3b7cee30e1a0.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0021_6cd35984e877,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0021_6cd35984e877.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0022_ba721f6129b9,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0022_ba721f6129b9.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0024_1778f351cc1f,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0024_1778f351cc1f.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0025_b7cb16176dd6,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0025_b7cb16176dd6.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0026_082e801ba327,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0026_082e801ba327.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0027_4746ccb301b2,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0027_4746ccb301b2.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0028_f24c96813f8a,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0028_f24c96813f8a.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0029_06e003737ae0,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0029_06e003737ae0.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0030_1aa680eb4d1c,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0030_1aa680eb4d1c.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0031_e269df449fea,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0031_e269df449fea.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0032_6d19ea1a2787,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0032_6d19ea1a2787.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
speech_0033_87b93568f40e,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0033_87b93568f40e.wav,"Hola, esta es mi voz natural para el modelo LYKENOX."
