utterance_id,duration_sec,wav_path,current_text,corrected_text,warning
speech_0021_6cd35984e877,77.1,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0021_6cd35984e877.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0022_ba721f6129b9,76.58,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0022_ba721f6129b9.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0023_fcefc8faaf26,88.59,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0023_fcefc8faaf26.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0024_1778f351cc1f,92.43,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0024_1778f351cc1f.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0025_b7cb16176dd6,91.33,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0025_b7cb16176dd6.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0026_082e801ba327,104.56,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0026_082e801ba327.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0027_4746ccb301b2,80.53,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0027_4746ccb301b2.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0028_f24c96813f8a,86.73,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0028_f24c96813f8a.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0029_06e003737ae0,132.77,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0029_06e003737ae0.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0030_1aa680eb4d1c,99.47,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0030_1aa680eb4d1c.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0031_e269df449fea,124.35,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0031_e269df449fea.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0032_6d19ea1a2787,190.24,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0032_6d19ea1a2787.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
speech_0033_87b93568f40e,231.24,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech\wav\speech_0033_87b93568f40e.wav,"Hola, esta es mi voz natural para el modelo LYKENOX.",,audio largo con texto corto; transcripcion probablemente incompleta
