utterance_id,wav_path,text
speech_0021_6cd35984e877_seg_002,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0021_6cd35984e877_seg_002.wav,"El bueno alcanzará el favor del señor, pero él condenará al hombre de malos pensamientos."
speech_0021_6cd35984e877_seg_003,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0021_6cd35984e877_seg_003.wav,"El hombre no se afirmará por medio de la maldad, pero la raíz de los juzgos no será movida."
speech_0021_6cd35984e877_seg_004,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0021_6cd35984e877_seg_004.wav,"La mujer virtuosa es la corona de su esposo, pero la mala es como carcoma en sus huesos."
speech_0021_6cd35984e877_seg_005,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0021_6cd35984e877_seg_005.wav,"Los pensamientos de los justos son rectos, pero los consejos de los malvados son engaño."
speech_0021_6cd35984e877_seg_006,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0021_6cd35984e877_seg_006.wav,"Las palabras de los malvados son para acechar la sangre, pero la boca de los rectos los librará, Dios trastornará a los malvados y dejarán de existir, pero la caja de los justos permanecerá. Según la sabiduría, es alavado el hombre, pero el perverso de corazón"
speech_0022_ba721f6129b9_seg_001,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_001.wav,"Según su sabiduría, es alabado el hombre, pero el perverso de corazón será despreciado."
speech_0022_ba721f6129b9_seg_002,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_002.wav,Más vale el que es menos preciado y tiene sirvientes que el que presume y no tiene pan.
speech_0022_ba721f6129b9_seg_003,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_003.wav,"El justo cuida de la vida de su animal, pero los sentimientos de los malvados son crueles."
speech_0022_ba721f6129b9_seg_004,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_004.wav,"El que trabaja su tierra se saciará de pan, pero el que sigue a los babos caece de entendimiento."
speech_0022_ba721f6129b9_seg_006,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_006.wav,"El malvado queda atrapado por el pecado de sus labios, pero el justo saldrá de la dificultad."
speech_0022_ba721f6129b9_seg_007,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_007.wav,El hombre se asciará de bien con el fruto de su boca y el pago de los... y el pago de las manos del hombre le será dado.
speech_0022_ba721f6129b9_seg_008,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_008.wav,"El camino del necio parece derecho antes sus propios ojos, pero el que escucha el consejo es sabio."
speech_0022_ba721f6129b9_seg_009,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0022_ba721f6129b9_seg_009.wav,"El necio enseguida deja ver su ira, pero el que disimula la ofensa es prudente."
speech_0024_1778f351cc1f_seg_001,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_001.wav,"El hijo sabió escucha el consejo de su padre, pero el por long no hace caso las represiones."
speech_0024_1778f351cc1f_seg_002,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_002.wav,"Del fruto de su boca el hombre comerá lo bueno, pero el alma de los pecadores hallará el mal."
speech_0024_1778f351cc1f_seg_003,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_003.wav,"El que cuida su boca cuida su vida, pero el que habla demasiado terminará en desgracia."
speech_0024_1778f351cc1f_seg_004,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_004.wav,"El peresoso desea y no consigue nada, pero el alma de los dirigentes prosperará."
speech_0024_1778f351cc1f_seg_005,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_005.wav,"El justo aborrece la mentira, pero el malvado se vuelve despreciable y vergonzoso."
speech_0024_1778f351cc1f_seg_007,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_007.wav,"Hay quienes hacen rico si no tienen nada, y hay quienes se hacen pobres y tienen muchas riquezas. La protección de la vida del hombre son sus riquezas, pero el pobre no escucha reprensiones. La luz de lo justo brilla con alegría, pero la lámpara de los malvados se"
speech_0024_1778f351cc1f_seg_008,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_008.wav,"apagará. El orgullo provoca con tiendas, pero con los prudentes está la sabiduría. La riquezas obtenidas con vanidad, disminuirán, pero el que junta poco a poco las aumentará."
speech_0024_1778f351cc1f_seg_009,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0024_1778f351cc1f_seg_009.wav,"La esperanza que se tarda en cumplirse es tormento para el corazón, pero el deseo cumplido es árbol de la vida."
speech_0025_b7cb16176dd6_seg_001,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0025_b7cb16176dd6_seg_001.wav,"El que desprecia la palabra perecerá por ello, pero el que respeta el mandamiento recibirá recompensa."
speech_0025_b7cb16176dd6_seg_002,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0025_b7cb16176dd6_seg_002.wav,La enseñanza del sabio es manantial de la vida para apartarse de los lazos de la muerte.
speech_0025_b7cb16176dd6_seg_003,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0025_b7cb16176dd6_seg_003.wav,"El buen entendimiento atrae el favor, pero el camino de los pecadores es duro."
speech_0025_b7cb16176dd6_seg_004,D:\Proyectos\LYKENOX-Voice-Engine\datasets\lykenox\identity_voice\prepared\speech_segmented\wav\speech_0025_b7cb16176dd6_seg_004.wav,"Todo hombre prudente actúa con sabiduría, pero el necio muestra su necesidad."
